Date,Avg_Polarity,Avg_Subjectivity,Avg_Pos_Score,Avg_Neu_Score,Avg_Neg_Score
2019-01-01,-0.1722222222222222,0.6370370370370371,0.08800000000000001,0.8493333333333334,0.06266666666666666
2019-01-02,0.13333333333333333,0.25555555555555554,0.10999999999999999,0.738,0.152
2019-01-03,0.11916666666666667,0.4783333333333332,0.02,0.849,0.131
2019-01-04,0.14222222222222222,0.4000617283950617,0.10933333333333334,0.8033333333333333,0.08744444444444444
2019-01-05,0.5,0.5,0.0,1.0,0.0
2019-01-07,0.11666666666666665,0.2833333333333333,0.187,0.5954999999999999,0.21750000000000003
2019-01-08,0.0,0.0,0.1375,0.7355,0.127
2019-01-09,0.08333333333333333,0.19166666666666665,0.02766666666666667,0.9356666666666668,0.03666666666666667
2019-01-10,-0.37222222222222223,0.6722222222222222,0.15666666666666665,0.794,0.049666666666666665
2019-01-11,0.0,0.03333333333333333,0.0,1.0,0.0
2019-01-14,0.025,0.55,0.0,1.0,0.0
2019-01-15,0.05555555555555555,0.3222222222222222,0.06733333333333334,0.872,0.06066666666666667
2019-01-16,0.10810185185185184,0.28472222222222227,0.05866666666666667,0.7303333333333333,0.211
2019-01-18,0.0893939393939394,0.2257575757575758,0.16066666666666668,0.758,0.08133333333333333
2019-01-21,0.0,0.05,0.0,1.0,0.0
2019-01-22,0.08333333333333334,0.4291666666666667,0.1155,0.8845000000000001,0.0
2019-01-23,0.02485945767195767,0.1805968915343915,0.01425,0.85375,0.132
2019-01-24,0.0,0.0,0.0,1.0,0.0
2019-01-25,0.1448232323232323,0.3082070707070707,0.0575,0.86975,0.07275
2019-01-28,0.0,0.025,0.0875,0.854,0.0585
2019-01-29,0.11833333333333333,0.5483333333333333,0.1062,0.8234,0.07039999999999999
2019-01-30,-0.06965656565656565,0.46595959595959596,0.0424,0.9292,0.028399999999999998
2019-01-31,-0.031060606060606063,0.4155934343434344,0.11549999999999999,0.8452500000000001,0.03925
2019-02-01,0.05096801346801347,0.3608901515151515,0.07516666666666667,0.8635,0.0615
2019-02-02,0.06628787878787878,0.3515151515151515,0.261,0.586,0.153
2019-02-04,0.07222222222222223,0.48888888888888893,0.13199999999999998,0.7756666666666666,0.09233333333333334
2019-02-05,3.469446951953614e-18,0.17777777777777778,0.076,0.888,0.036
2019-02-06,0.165,0.3,0.1015,0.86725,0.031
2019-02-07,0.0,0.3,0.0315,0.8474999999999999,0.1205
2019-02-08,-0.075,0.1,0.028,0.8160000000000001,0.156
2019-02-12,0.0,0.03333333333333333,0.16499999999999998,0.835,0.0
2019-02-13,0.1625,0.4600000000000001,0.1292,0.8220000000000001,0.048799999999999996
2019-02-14,0.06619528619528618,0.3063299663299663,0.09066666666666667,0.9093333333333334,0.0
2019-02-15,-0.005555555555555567,0.48888888888888893,0.0615,0.9385,0.0
2019-02-16,0.2898989898989899,0.6181818181818182,0.329,0.61,0.061
2019-02-19,0.15833333333333333,0.6916666666666668,0.132,0.7823333333333333,0.08600000000000001
2019-02-20,0.1787878787878788,0.5015151515151515,0.045000000000000005,0.9550000000000001,0.0
2019-02-21,0.0,0.5,0.088,0.8325,0.0795
2019-02-22,0.0,0.0,0.0845,0.9155,0.0
2019-02-23,0.06727272727272728,0.31567099567099566,0.244,0.756,0.0
2019-02-25,0.009090909090909094,0.4136363636363637,0.135,0.441,0.423
2019-02-26,0.10000000000000002,0.8,0.2175,0.72,0.0625
2019-02-27,0.06553030303030302,0.3003787878787879,0.149,0.7675000000000001,0.0835
2019-02-28,0.03333333333333333,0.3666666666666667,0.116,0.884,0.0
2019-03-01,-0.2,0.29423076923076924,0.027,0.9139999999999999,0.059
2019-03-04,-0.023106060606060606,0.3090909090909091,0.17466666666666666,0.8253333333333334,0.0
2019-03-05,-0.033333333333333354,0.7,0.202,0.798,0.0
2019-03-06,0.10606060606060605,0.3799242424242424,0.0,0.942,0.058
2019-03-08,-0.047619047619047616,0.15476190476190477,0.0,0.973,0.027
2019-03-09,0.11666666666666665,0.25,0.15133333333333332,0.8016666666666667,0.04699999999999999
2019-03-11,-0.03333333333333334,0.4833333333333334,0.034333333333333334,0.9486666666666667,0.016999999999999998
2019-03-12,0.0,0.0,0.0,0.775,0.225
2019-03-13,0.41208333333333336,0.59875,0.20600000000000002,0.7154,0.0786
2019-03-14,0.1111111111111111,0.2777777777777778,0.07633333333333332,0.8276666666666666,0.09599999999999999
2019-03-15,0.01874999999999999,0.4201388888888889,0.056333333333333326,0.8250000000000001,0.11866666666666666
2019-03-18,0.0,0.0,0.093,0.8380000000000001,0.069
2019-03-19,0.3333333333333333,0.5,0.159,0.841,0.0
2019-03-20,0.20871212121212118,0.3547348484848485,0.04375,0.90575,0.0505
2019-03-21,0.1125,0.409375,0.1505,0.8494999999999999,0.0
2019-03-22,-0.25,0.5777777777777778,0.0,0.795,0.205
2019-03-25,0.1331439393939394,0.21672979797979797,0.10766666666666667,0.8546666666666667,0.03766666666666667
2019-03-26,0.014772727272727264,0.3721590909090909,0.08499999999999999,0.8195,0.0955
2019-03-27,0.09999999999999999,0.21944444444444444,0.109,0.891,0.0
2019-03-28,0.05416666666666667,0.3791666666666667,0.089,0.911,0.0
2019-03-29,0.19791666666666666,0.37569444444444444,0.17149999999999999,0.8285,0.0
2019-04-01,0.17500000000000002,0.65,0.13966666666666666,0.7733333333333334,0.08666666666666667
2019-04-02,0.038888888888888896,0.20555555555555557,0.14350000000000002,0.797,0.0595
2019-04-03,0.16818181818181818,0.32727272727272727,0.0,1.0,0.0
